PBCAT,,,,,,,
Statewide Bicycle Crash Data - City by Crash Severity,,,,,,,
"For Years 1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012",,,,,,,
,,,,,,,
City by Crash Severity,Unknown Injury,K: Killed,A: Disabling,B: Evident,C: Possible,O: No Injury,Total
Chapel Hill,1,1,9,123,99,8,241
Charlotte,8,21,88,746,635,132,"1,630"
Cherokee,0,0,0,1,0,0,1
Cherokee Reservation,0,0,0,1,1,0,2
Cherryville,0,0,1,3,0,0,4
China Grove,0,0,0,1,0,1,2
Chocowinity,0,0,0,1,0,0,1
Claremont,0,0,0,0,1,0,1
Clarkton,0,0,0,1,0,0,1
Clayton,0,0,0,1,3,1,5
Clemmons,0,1,2,5,5,2,15
Cleveland,0,0,0,1,1,0,2
Clinton,0,0,0,5,17,2,24
Clyde,0,0,0,1,0,0,1
Coats,0,0,1,0,0,0,1
Columbia,0,0,0,5,0,1,6
Columbus,0,0,0,2,0,0,2
Concord,0,2,5,30,39,3,79
Conetoe,0,0,0,0,1,0,1
Conover,0,0,0,3,7,1,11
Cornelius,0,1,0,3,4,1,9
Cove City,0,0,0,1,0,0,1
Cramerton,1,0,0,2,0,0,3
Creedmoor,0,0,0,1,0,0,1
Dallas,0,0,1,5,0,0,6
Davidson,0,0,0,9,1,2,12
Denton,0,0,0,2,0,0,2
Dobbins Heights,0,0,1,0,0,0,1
Dobson,0,0,0,4,0,0,4
Dover,0,0,0,1,0,0,1
Drexel,0,0,0,1,0,0,1
Duck,0,0,0,9,8,3,20
Dudley,0,0,0,1,1,0,2
Dunn,1,1,1,23,23,2,51
Durham,5,4,31,220,195,48,503
East Bend,0,0,0,0,1,0,1
East Laurinburg,0,0,1,1,0,0,2
East Spencer,0,0,1,1,0,0,2
Eastover,0,0,0,2,0,0,2
Eden,0,1,3,17,12,4,37
Edenton,0,0,4,7,5,1,17
Elizabeth City,1,1,11,30,49,7,99
Elizabethtown,0,1,0,5,4,1,11
Elkin,0,0,0,1,0,0,1
Ellerbe,0,0,0,1,3,0,4
Elm City,0,0,0,1,0,0,1
Elon College,0,0,1,4,1,1,7
Emerald Isle,0,0,3,21,3,5,32
Enfield,0,0,0,13,15,2,30
Erwin,3,0,0,4,0,1,8
Everetts,0,0,0,1,0,0,1
Fairmont,0,0,0,2,0,0,2
Fairview,0,0,0,0,1,0,1
Faith,0,0,0,1,0,0,1
Farmville,0,0,0,5,9,2,16
Fayetteville,5,6,23,187,174,50,445
Fletcher,0,0,0,1,0,2,3
Forest City,0,0,1,5,8,1,15
Fort Bragg,0,0,0,1,0,1,2
Franklin,0,0,0,1,0,0,1
Franklinton,0,0,0,2,0,0,2
Franklinville,0,0,0,1,0,0,1
Fremont,0,0,0,1,0,0,1
Fuquay-Varina,0,0,3,4,6,2,15
Garland,0,0,0,1,0,0,1
Garner,0,0,2,12,19,2,35
Garysburg,0,0,1,2,2,0,5
Gaston,0,0,0,1,0,0,1
Gastonia,2,2,9,46,109,14,182
Gibson,0,0,1,1,0,0,2
Gibsonville,0,1,1,2,2,0,6
Glen Alpine,0,0,0,1,0,0,1
Goldsboro,0,5,8,29,47,4,93
Goldston,0,1,0,0,0,0,1
Graham,0,0,1,12,3,2,18
Granite Falls,0,0,1,3,0,0,4
Granite Quarry,0,0,0,0,1,1,2
Grantsboro,0,0,0,2,0,2,4
Green Level,0,0,0,0,2,0,2
Greensboro,2,3,32,293,331,24,685
Greenville,0,5,14,82,107,16,224
Grifton,0,0,0,1,0,2,3
Grimesland,0,0,0,2,1,1,4
Halifax,0,1,0,0,1,0,2
Hamilton,0,0,0,0,1,0,1
Hamlet,0,1,0,5,4,0,10
Hampstead,0,0,0,1,0,0,1
Harmony,0,0,0,0,1,0,1
Harrisburg,1,0,0,2,0,1,4
Havelock,1,2,1,14,10,8,36
Haw River,0,0,0,1,2,1,4
Hayesville,0,0,0,1,0,0,1
Henderson,0,0,1,10,6,1,18
Hendersonville,0,0,4,27,24,3,58
Hertford,1,1,0,0,0,0,2
Hickory,0,0,4,45,44,15,108
High Point,2,2,15,124,90,12,245
High Shoals,0,0,0,1,0,0,1
Highlands,0,0,1,0,0,0,1
Hildebran,0,0,0,0,1,0,1
Hillsborough,1,0,0,4,1,0,6
Hoffman,0,0,0,1,0,0,1
Holly Ridge,0,0,0,1,0,0,1
Holly Springs,0,0,0,9,6,4,19
Hookerton,0,0,0,1,0,0,1
Hope Mills,0,2,1,5,4,3,15
Hot Springs,0,0,0,1,0,0,1
Hudson,0,0,0,2,1,0,3
Huntersville,0,0,2,24,11,3,40
Indian Trail,0,0,2,9,4,0,15
Jacksonville,0,5,10,65,87,8,175
Jamestown,0,0,0,3,0,0,3
Jamesville,0,0,0,1,0,0,1
Jefferson,0,0,0,0,0,1,1
Jonesville,0,0,0,0,1,0,1
Kannapolis,1,1,8,30,43,5,88
Kenansville,0,0,0,0,0,1,1
Kenly,0,0,0,1,2,3,6
Kernersville,0,0,0,11,6,0,17
Kill Devil Hills,0,1,3,25,18,2,49
King,0,0,0,1,3,1,5
Kings Mountain,0,0,0,5,9,2,16
Kinston,2,0,16,57,89,15,179
Kittrell,0,1,0,0,0,0,1
Kitty Hawk,0,0,3,18,6,3,30
Knightdale,0,0,0,6,5,1,12
Kure Beach,0,0,0,2,1,0,3
La Grange,0,0,0,3,1,0,4
Lake Lure,0,0,1,0,0,0,1
Lake Waccamaw,0,0,0,1,0,0,1
Landis,0,0,1,4,0,0,5
Laurinburg,0,1,1,17,28,5,52
Leland,0,0,2,6,2,0,10
Lenoir,0,1,6,22,15,1,45
Lewisville,0,0,1,8,5,0,14
Lexington,0,3,5,16,22,0,46
Liberty,0,0,0,1,0,0,1
Lilesville,0,0,0,1,0,0,1
Lillington,0,0,0,0,1,0,1
Lincolnton,0,0,3,2,1,0,6
Littleton,0,0,0,1,0,0,1
Long Beach,0,0,0,1,1,0,2
Long View,0,0,0,6,1,0,7
Louisburg,0,1,1,0,3,2,7
Lowell,0,0,0,0,1,0,1
Lucama,0,0,1,1,0,0,2
Lumber Bridge,0,0,0,1,0,0,1
Lumberton,1,7,5,29,46,18,106
Macclesfield,0,0,0,1,0,0,1
Madison,0,0,1,1,1,1,4
Maiden,0,0,0,1,2,0,3
Manteo,1,0,0,4,1,0,6
Marietta,0,0,0,1,0,0,1
Marion,0,0,1,2,4,0,7
Marshville,0,0,1,1,0,0,2
Marvin,0,0,0,3,1,0,4
Matthews,0,0,3,14,15,4,36
Maxton,0,0,0,5,5,1,11
Maysville,0,0,0,0,2,0,2
Mcadenville,0,0,0,0,1,0,1
Mebane,0,0,0,0,1,0,1
Midland,0,1,0,3,0,0,4
Midway,0,1,0,1,1,0,3
Mills River,0,0,0,2,0,0,2
Mineral Springs,0,0,0,2,1,0,3
Mint Hill,0,0,1,5,4,1,11
Mocksville,0,0,1,1,0,0,2
Monroe,0,4,6,18,21,4,53
Montreat,0,0,0,0,1,0,1
Mooresville,0,0,0,22,20,9,51
Morehead City,2,0,2,22,34,11,71
Morganton,0,0,4,11,7,1,23
Morrisville,0,0,2,9,13,2,26
Morven,0,0,0,1,1,0,2
Mount Airy,0,0,2,4,4,3,13
Mount Holly,0,2,0,9,5,2,18
Mount Olive,0,0,1,9,10,1,21
Murfreesboro,0,0,1,0,2,0,3
Murphy,0,0,1,1,1,0,3
Nags Head,0,1,4,18,8,2,33
Navassa,0,0,0,1,0,0,1
New Bern,0,0,2,16,18,2,38
Newport,0,1,1,4,2,0,8
Newton,0,0,2,6,5,2,15
Newton Grove,0,0,0,1,0,0,1
North Wilkesboro,0,0,1,5,2,0,8
Norwood,0,0,1,2,3,1,7
Oak Island,0,0,2,12,11,2,27
Oak Ridge,0,0,0,3,0,0,3
Ocean Isle Beach,0,0,0,0,2,2,4
Old Fort,0,0,1,0,0,0,1
Oriental,0,0,0,0,1,0,1
Oxford,0,0,0,7,11,2,20
Parkton,0,0,0,0,1,0,1
Patterson Springs,0,0,2,2,2,0,6
Peachland,0,0,0,1,0,0,1
Pembroke,0,1,0,2,4,4,11
Pfafftown,0,1,0,0,0,0,1
Pikeville,0,0,0,0,0,1,1
Pilot Mountain,0,0,0,1,0,0,1
Pine Knoll Shores,0,0,0,2,1,0,3
Pinebluff,0,0,0,1,0,0,1
Pinehurst,0,1,0,6,6,3,16
Pinetops,0,0,0,1,2,1,4
Pineville,0,0,0,7,6,1,14
Pink Hill,0,0,1,0,0,1,2
Pittsboro,0,0,0,2,2,0,4
Pleasant Garden,0,0,0,3,0,0,3
Plymouth,0,1,1,11,4,0,17
Polkton,0,0,0,1,1,0,2
Pollocksville,0,0,0,1,0,0,1
Princeville,0,0,2,0,1,0,3
Proctorville,0,0,0,1,0,0,1
Raeford,0,0,2,1,0,1,4
Raleigh,2,14,48,459,414,178,"1,115"
Ramseur,0,1,0,3,2,0,6
Randleman,0,0,0,3,0,0,3
Red Springs,0,1,0,2,3,1,7
Reidsville,1,0,1,18,12,2,34
Rennert,0,0,0,1,0,0,1
Rhodhiss,0,0,0,0,2,0,2
Richfield,0,0,1,1,0,0,2
River Bend,0,0,1,2,0,0,3
Roanoke Rapids,0,0,2,20,24,7,53
Robbinsville,0,0,0,1,0,0,1
Rockingham,0,0,1,9,5,0,15
Rockwell,0,0,0,2,0,0,2
Rocky Mount,1,4,22,145,153,48,373
Rolesville,0,0,0,1,1,0,2
Roper,0,0,1,2,1,0,4
Rose Hill,0,1,0,2,1,0,4
Rowland,0,0,1,1,3,0,5
Roxboro,0,0,0,1,7,3,11
Roxobel,0,0,0,1,0,0,1
Rural Hall,0,1,1,0,1,0,3
Rutherford College,0,0,0,0,1,0,1
Rutherfordton,0,0,0,1,1,0,2
Saint Pauls,0,0,0,1,0,0,1
Salisbury,0,2,3,19,27,12,63
Salter Path,0,0,0,1,0,0,1
Sanford,0,1,11,23,20,3,58
Saratoga,0,0,0,0,1,0,1
Scotland Neck,0,0,0,2,2,1,5
Seaboard,0,0,0,0,1,0,1
Selma,0,0,1,9,1,0,11
Shallotte,0,0,2,1,0,1,4
Sharpsburg,0,0,2,0,2,1,5
Shelby,0,3,5,20,19,3,50
Siler City,0,0,3,9,6,3,21
Sims,0,0,0,2,1,0,3
Smithfield,0,0,4,24,23,18,69
Snow Hill,0,0,0,3,0,0,3
Southern Pines,0,1,0,18,11,4,34
Southern Shores,0,1,0,6,0,1,8
Southport,0,0,0,1,3,0,4
Speed,0,0,0,0,1,0,1
Spencer,0,0,0,4,1,0,5
Spindale,0,0,0,4,3,0,7
Spring Hope,0,0,1,2,0,0,3
Spring Lake,0,1,0,9,9,1,20
Stallings,0,0,1,2,1,1,5
Stanfield,0,0,0,2,0,0,2
Stanley,1,0,0,3,3,0,7
Star,0,0,0,1,0,0,1
Statesville,0,0,11,54,35,4,104
Stedman,0,0,0,0,1,0,1
Stokesdale,0,0,0,0,0,1,1
Stoneville,0,0,0,1,0,0,1
Stonewall,0,0,0,0,1,0,1
Summerfield,0,2,1,2,1,0,6
Sunset Beach,0,1,0,4,2,1,8
Surf City,0,0,0,1,0,0,1
Swansboro,0,0,0,1,1,2,4
Swepsonville,0,0,0,1,0,0,1
Sylva,0,0,0,3,2,0,5
Tabor City,0,0,0,4,1,0,5
Tarboro,0,0,2,19,22,3,46
Thomasville,0,0,2,14,4,1,21
Tobaccoville,0,1,0,2,2,0,5
Trent Woods,0,0,0,0,3,0,3
Trinity,0,0,1,2,1,0,4
Troutman,0,0,0,3,2,1,6
Troy,0,0,0,5,6,1,12
Tryon,0,0,0,2,0,0,2
Turkey,0,0,0,0,1,0,1
Unionville,0,0,1,1,1,0,3
Valdese,0,0,0,1,2,0,3
Vanceboro,0,0,0,1,0,0,1
Vander,0,0,0,1,0,0,1
Vass,0,0,0,1,0,0,1
Wadesboro,0,0,1,6,2,1,10
Wake Forest,0,0,0,2,0,0,2
Walkertown,0,0,0,2,0,0,2
Wallace,1,0,0,2,3,1,7
Warrenton,0,0,0,0,1,0,1
Warsaw,0,0,1,2,2,1,6
Washington,1,1,3,38,40,5,88
Washington Park,0,0,0,1,0,0,1
Waxhaw,0,0,1,2,1,1,5
Waynesville,0,0,1,3,4,1,9
Weaverville,0,0,0,2,1,0,3
Weddington,0,1,2,3,2,0,8
Weldon,1,0,1,2,1,1,6
Wendell,0,0,0,2,3,0,5
Wentworth,0,1,0,0,0,0,1
Wesley Chapel,0,1,1,3,3,0,8
West Jefferson,0,0,0,0,1,0,1
Whitakers,0,0,1,0,0,0,1
White Lake,0,0,0,1,0,0,1
Whiteville,1,1,2,12,9,5,30
Whitsett,0,0,0,1,0,0,1
Wilkesboro,0,1,0,3,0,1,5
Williamston,0,0,1,7,9,1,18
Wilmington,7,4,36,297,285,39,668
Wilson,2,3,15,88,115,32,255
Wilsons Mills,0,0,1,1,1,0,3
Windsor,0,0,0,1,0,1,2
Winston-Salem,0,9,25,130,99,16,279
Winterville,0,0,0,5,5,1,11
Winton,0,0,0,0,1,0,1
Woodfin,0,0,0,3,0,0,3
Woodland,0,0,0,2,0,0,2
Wrightsville Beach,3,0,1,26,13,8,51
Yadkinville,0,0,0,2,0,1,3
Yanceyville,0,0,0,1,0,0,1
Zebulon,0,0,0,6,2,1,9
Total,84,388,"1,226","6,885","5,893","1,213","15,689"
