PBCAT,,,,,,,,,,,,,,,,,
Statewide Bicycle Crash Data - Crash Type,,,,,,,,,,,,,,,,,
"For Years 1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Crash Type,Crash Year,,,,,,,,,,,,,,,,Total
,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,
Head-On - Bicyclist,23,28,20,25,33,19,22,21,32,22,31,28,11,21,20,23,379
Head-On - Motorist,0,0,0,0,0,0,0,0,0,5,9,3,2,4,5,4,32
Head-On - Unknown,0,0,0,0,0,0,0,0,0,1,1,4,0,1,2,1,10
Motorist Drive In / Out - Parking,0,0,0,1,1,0,0,1,0,0,0,2,0,0,0,1,6
Motorist Drive Out - Commercial Driveway / Alley,47,48,51,42,44,47,45,67,50,55,56,59,25,39,63,60,798
Motorist Drive Out - Midblock - Unknown,2,4,9,3,1,3,0,2,4,1,1,3,4,4,1,1,43
Motorist Drive Out - Other Midblock,1,0,7,0,3,1,2,0,0,1,0,7,7,12,8,3,52
Motorist Drive Out - Residential Driveway,9,5,9,6,5,6,6,7,6,6,4,8,5,3,4,3,92
Motorist Drive Out - Right Turn on Red,13,24,18,14,14,15,10,12,23,21,21,18,7,9,12,23,254
Motorist Drive Out - Sign-Controlled Intersection,68,79,82,66,79,82,64,60,77,91,79,116,81,82,102,97,"1,305"
Motorist Drive Out - Signalized Intersection,3,7,8,6,7,1,2,2,2,4,3,2,9,17,11,8,92
Motorist Drive Through - Sign-Controlled Intersection,8,5,9,3,2,2,0,2,1,6,2,10,5,10,2,5,72
Motorist Drive Through - Signalized Intersection,2,2,3,5,1,1,4,2,0,0,3,5,7,2,6,2,45
Motorist Intentionally Caused,3,3,3,2,4,2,5,6,4,6,4,3,4,3,0,1,53
Motorist Left Turn - Opposite Direction,54,49,48,48,49,44,44,56,56,54,58,56,53,84,83,87,923
Motorist Left Turn - Same Direction,6,4,12,12,7,10,17,17,8,9,12,7,13,11,10,5,160
Motorist Lost Control - Alcohol / Drug Impairment,0,1,0,0,1,0,0,0,1,1,1,0,0,0,1,0,6
Motorist Lost Control - Mechanical Problems,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,3
Motorist Lost Control - Other / Unknown,3,3,1,5,0,2,1,3,1,3,2,4,6,9,7,15,65
"Motorist Lost Control - Oversteering, Improper Braking, Speed",0,3,0,2,2,1,0,0,1,0,0,1,1,1,0,1,13
Motorist Lost Control - Surface Conditions,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,3
Motorist Overtaking - Bicyclist Swerved,0,0,0,0,0,0,0,0,0,34,32,19,28,22,21,33,189
Motorist Overtaking - Misjudged Space,13,35,45,32,24,21,7,7,12,24,32,44,42,55,57,37,487
Motorist Overtaking - Other / Unknown,23,64,60,38,59,57,75,96,79,68,67,75,88,74,82,119,"1,124"
Motorist Overtaking - Undetected Bicyclist,32,31,35,26,24,40,35,22,28,33,41,38,26,30,30,17,488
Motorist Right Turn - Opposite Direction,0,8,11,5,3,4,9,2,8,3,8,5,7,5,7,3,88
Motorist Right Turn - Same Direction,18,25,37,25,30,29,30,36,29,30,45,48,34,41,47,41,545
Motorist Right Turn on Red - Opposite Direction,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Motorist Right Turn on Red - Same Direction,0,0,0,0,0,0,0,0,0,0,2,0,0,2,4,0,8
Motorist Turn / Merge - Other / Unknown,0,0,0,0,0,0,0,0,0,1,2,2,1,0,1,1,8
Motorist Turning Error - Left Turn,6,5,8,2,1,6,3,3,3,6,2,7,4,3,4,8,71
Motorist Turning Error - Other,2,5,0,1,1,0,0,1,1,1,0,0,1,1,1,1,16
Motorist Turning Error - Right Turn,0,1,0,1,0,2,0,1,3,2,3,1,1,2,4,0,21
Multiple Threat - Midblock,0,0,0,0,0,0,0,0,0,6,3,5,4,3,5,2,28
Multiple Threat - Sign-Controlled Intersection,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Non-Roadway,41,36,28,38,41,40,53,39,37,45,42,47,42,37,46,31,643
Parallel Paths - Other / Unknown,35,21,11,19,15,7,11,12,14,10,10,11,11,8,10,5,210
Play Vehicle-Related,1,0,0,0,1,0,0,0,1,2,0,0,0,0,1,0,6
Sign-Controlled Intersection - Other / Unknown,12,11,4,9,9,5,2,6,3,7,4,17,10,7,6,7,119
Signalized Intersection - Other / Unknown,11,4,7,15,9,12,5,14,4,11,11,33,19,16,12,43,226
Unknown Approach Paths,0,0,0,0,0,0,0,0,0,24,14,14,13,11,7,8,91
Unknown Location,0,0,0,0,0,0,0,0,0,2,3,5,3,0,0,1,14
Unknown/Insufficient Information,24,35,26,15,20,10,12,16,13,0,0,0,0,0,0,0,171
Unusual Circumstances,5,3,4,4,8,1,3,0,1,2,5,3,0,1,1,1,42
Total,"1,023","1,105","1,109",905,937,895,914,959,950,973,"1,030","1,042",829,966,"1,028","1,024","15,689"
